log_id,container_id,action,old_value,new_value,note,created_at
e334530c-bf9f-4296-8415-1ef15e0fb116,10b67154-1c12-4404-8d3b-43b91c664523,Container created,,YMLU5455243,,2026-06-02 08:00:27
39eb6e22-31f1-41f4-b5f9-25aab9dca0c9,5c406e46-3a96-47ee-811d-afe6581cba96,Container created,,HMMU5540608,,2026-06-02 08:14:08
b9ca2420-0ed6-496a-9397-8cf58b9e7b9a,2203fbc8-57ce-44ac-b0df-9c80f30d17b5,Container created,,YMLU5429305,,2026-06-02 08:19:34
b8ea34ec-9ed1-43cf-8977-015f849c0d21,34c80556-3994-4694-b01a-05ef63b643dd,Container created,,HMMU5402954,,2026-06-02 08:25:49
abbc2453-4f2b-4bf7-8766-ae8fade4f80e,34c80556-3994-4694-b01a-05ef63b643dd,Status changed,On water,Booked,,2026-06-02 08:26:36
d39fe240-80ef-4171-82cd-f14c8f79b9b4,bbd0c29c-eba4-4159-8e7d-e72c6f579564,Container created,,PENDING,,2026-06-02 08:35:33
197a4095-f217-4057-b61d-aede6c382a5d,85254917-5bd4-4154-8fa6-9bd9a30efac8,Container created,,PENDING,,2026-06-02 08:40:01
7fc3f2b2-0661-4a8c-b6fa-68055cb93381,fdfad2ed-31ae-47f4-8376-8946c043e2f9,Container created,,PENDING,,2026-06-02 08:42:21
d977e6f0-c90b-4b8f-9404-e926f64dd1e8,9734a3f6-f381-41f4-bfae-9083943c34c6,Container created,,PENDING,,2026-06-02 08:52:49
23e4bd8b-4ad5-44b8-9fc9-d87b2297ceea,a4cbf613-c77b-44ca-bfc8-807657a1643a,Container created,,PENDING,,2026-06-02 08:56:06
